1994-01-01 | Size of misc in tokens: 1321905
         0 | Gesetz zu dem Vertrag vom 21. Dezember 1972 zwischen der Bundesrepublik Deutschland und der Deutschen Demokratischen Republik über die Grundlagen der Beziehungen zwischen der Bundesrepublik Deutschland und der Deutschen Demokratischen Republik
         0 | Erstes Gesetz zur Aufhebung des Besatzungsrechts
         0 | Gesetz zum Zusatzprotokoll vom 15. März 1978 zum Europäischen Übereinkommen betreffend Auskünfte über ausländisches Recht
         0 | Gesetz zu dem Übereinkommen vom 22. März 1974 über den Schutz der Meeresumwelt des Ostseegebiets
         0 | Gesetz zu dem Abkommen vom 10. Juni 1985 zwischen der Bundesrepublik Deutschland und der Volksrepublik China zur Vermeidung der Doppelbesteuerung auf dem Gebiet der Steuern vom Einkommen und vom Vermögen
         0 | Gesetz betreffend den Ausbau der deutschen Wasserstraßen und die Erhebung von Schiffahrtsabgaben
         0 | Gesetz Nr. 213 über die amtliche Verwahrung von Testamenten und Erbverträgen
         0 | Gesetz über das Internationale Pflanzenschutzabkommen vom 6. Dezember 1951
         0 | Gesetz zu dem Vertrag vom 29. Mai 1962 zwischen der Bundesrepublik Deutschland und dem Spanischen Staat über Kriegsopferversorgung und zu dem Notenwechsel vom 16. Mai 1963
         0 | Gesetz zu dem Übereinkommen vom 20. November 1963 zur Revision der am 17. Oktober 1868 in Mannheim unterzeichneten Revidierten Rheinschiffahrtsakte
         0 | Gesetz zu dem Internationalen Fernmeldevertrag vom 12. November 1965
         0 | Gesetz zu dem Abkommen vom 7. Juli 1955 über den Luftverkehr zwischen der Bundesrepublik Deutschland und den Vereinigten Staaten von Amerika
         0 | Gesetz zur verstärkten Eigentumsbildung im Wohnungsbau und zur Sicherung der Zweckbestimmung von Sozialwohnungen
         0 | Gesetz über den Freundschafts-, Handels- und Konsularvertrag zwischen dem Deutschen Reiche und den Vereinigten Staaten von Amerika
         0 | Gesetz zu dem Vertrag vom 6. September 1962 zwischen der Bundesrepublik Deutschland und der Republik Österreich über Zollerleichterungen im kleinen Grenzverkehr und im Durchgangsverkehr
         0 | Gesetz zu dem Vertrag vom 19. November 1990 über konventionelle Streitkräfte in Europa
         0 | Gesetz über Kreuzungen von Eisenbahnen und Straßen
         0 | -
         0 | Zweites Gesetz zur Aufhebung des Besatzungsrechts
         0 | Gesetz zu dem Übereinkommen vom 15. März 1960 zur Vereinheitlichung einzelner Regeln über den Zusammenstoß von Binnenschiffen sowie zur Änderung des Binnenschiffahrtsgesetzes und des Flößereigesetzes
         0 | Gesetz zu den Internationalen Übereinkommen vom 2. Dezember 1961 zum Schutz von Pflanzenzüchtungen
         0 | Gesetz über die Feststellung des Wirtschaftsplans des ERP-Sondervermögens für das Rechnungsjahr 1968
         0 | Gesetz über das Protokoll von Torquay vom 21. April 1951 und über den Beitritt der Bundesrepublik Deutschland zum Allgemeinen Zoll- und Handelsabkommen
         0 | Gesetz zu dem Protokoll vom 28. Juni 1984 zur Änderung des am 18. März 1959 in Neu-Delhi unterzeichneten Abkommens zwischen der Regierung der Bundesrepublik Deutschland und der Regierung der Republik Indien zur Vermeidung der Doppelbesteuerung des Einkommens
         0 | Gesetz zu dem Abkommen vom 1. Juni 1961 zwischen der Bundesrepublik Deutschland und der Schweizerischen Eidgenossenschaft über die Errichtung nebeneinanderliegender Grenzabfertigungsstellen und die Grenzabfertigung in Verkehrsmitteln während der Fahrt
         0 | Zweites Gesetz zur Berechnung strafrechtlicher Verjährungsfristen
         0 | Gesetz zur Änderung der Haftungshöchstbeträge nach dem Straßenverkehrsgesetz
         0 | Gesetz zu dem Europäischen Übereinkommen vom 13. Dezember 1968 über den Schutz von Tieren beim internationalen Transport
         0 | Gesetz zu dem Assoziierungsabkommen vom 12. September 1963 zwischen der Europäischen Wirtschaftsgemeinschaft und der Türkei sowie zu den mit diesem Abkommen in Zusammenhang stehenden Abkommen
         0 | Gesetz über die Vereinheitlichung des Gesundheitswesens
         0 | Gesetz zu dem Übereinkommen vom 20. August 1971 über die Internationale Fernmeldesatellitenorganisation "INTELSAT"
         0 | Gesetz über den Vertrag zwischen der Bundesrepublik Deutschland und der Französischen Republik zur Regelung der Saarfrage
         0 | Gesetz zu dem Genfer Protokoll von 1967 zum Allgemeinen Zoll- und Handelsabkommen, dem Übereinkommen vom 30. Juni 1967 zur Durchführung von Artikel VI des Allgemeinen Zoll- und Handelsabkommen und dem Abkommen vom 30. Juni 1967 zwischen der Europäischen Wirtschaftsgemeinschaft sowie deren Mitgliedstaaten und der Schweizerischen Eidgenossenschaft über Uhrmacherwaren
         0 | Gesetz über das Abkommen zwischen dem Deutschen Reiche und der Schweizerischen Eidgenossenschaft betreffend schweizerische Goldhypotheken in Deutschland und gewisse Arten von Frankenforderungen an deutsche Schuldner
         0 | Gesetz über die Feststellung des Bundeshaushaltsplans für das Haushaltsjahr 1997
         0 | Gesetz über die Errichtung der Deutschen Rentenbank-Kreditanstalt
         0 | Drittes Gesetz über Änderungen in der Unfallversicherung
         0 | Gesetz zu dem Abkommen vom 26. Juni 1954 zwischen der Regierung der Bundesrepublik Deutschland und der Regierung der Föderativen Volksrepublik Jugoslawien über die vorläufige Regelung der Donauschiffahrt und zu dem Abkommen vom 17. Juli 1956 zwischen der Bundesrepublik Deutschland und der Föderativen Volksrepublik Jugoslawien über die Zollbehandlung der Donauschiffe
         0 | Gesetz zu dem Übereinkommen von 1976 über die Beschränkung der Haftung für Seeforderungen
         0 | Gesetz über den Vertrag vom 27. Oktober 1956 zur Abänderung des Vertrages über die Gründung der Europäischen Gemeinschaft für Kohle und Stahl
         0 | Gesetz zu dem Vertrag vom 27. April 1983 zur Änderung des Vertrags vom 31. Mai 1967 zwischen der Bundesrepublik Deutschland und der Republik Österreich über zoll- und paßrechtliche Fragen, die sich an der deutsch-österreichischen Grenze bei Staustufen und Grenzbrücken ergeben
         0 | Gesetz über die Anerkennung freier Ehen rassisch und politisch Verfolgter
         0 | Gesetz zu dem Internationalen Kakao-Übereinkommen von 1986
         0 | Gesetz über Arbeitsvermittlung und Arbeitslosenversicherung
         0 | Gesetz wegen des deutsch-britischen Abkommens über den Rechtsverkehr
         0 | Gesetz zu dem Abkommen vom 30. Mai 1958 zwischen der Bundesrepublik Deutschland und dem Königreich der Niederlande über die Zusammenlegung der Grenzabfertigung und über die Einrichtung von Gemeinschafts- oder Betriebswechselbahnhöfen an der deutsch-niederländischen Grenze
         0 | Gesetz zu der Vereinbarung vom 23. Februar 1978 zwischen der Bundesrepublik Deutschland und dem Königreich Schweden zur Durchführung des Abkommens vom 27. Februar 1976 über Soziale Sicherheit
         0 | Gesetz zu dem Übereinkommen vom 11. Dezember 1987 zwischen den Vereinigten Staaten von Amerika und dem Königreich Belgien, der Bundesrepublik Deutschland, der italienischen Republik, dem Königreich der Niederlande und dem Vereinigten Königreich Großbritannien und Nordirland über Inspektionen in bezug auf den Vertrag zwischen den Vereinigten Staaten von Amerika und der Union der Sozialistischen Sowjetrepubliken über die Beseitigung ihrer Flugkörper mittlerer und kürzerer Reichweite
         0 | Gesetz über den Beitritt der Bundesrepublik Deutschland zu dem Abkommen vom 19. Juni 1948 über die internationale Anerkennung von Rechten an Luftfahrzeugen
         0 | Gesetz über die Deutsche Reichsbahn
         0 | Gesetz zum Schiffssicherheitsvertrag vom 17. Juni 1960
         0 | Gesetz zur Durchführung des Reichskonkordats
         0 | -
         0 | Gesetz über das deutsch-türkische Abkommen über den Rechtsverkehr in Zivil- und Handelssachen
         0 | Gesetz betreffend die Ausführung der am 9. September 1886 zu Bern abgeschlossenen Übereinkunft wegen Bildung eines internationalen Verbandes zum Schutz von Werken der Literatur und Kunst
         0 | Gesetz über das am 22. Januar 1965 in Straßburg unterzeichnete Protokoll zu dem Europäischen Abkommen vom 22. Juni 1960 zum Schutz von Fernsehsendungen
         0 | Drittes Gesetz zur Änderung des Atomgesetzes
         0 | Gesetz über die Rentenbankgrundschuld
         0 | Zweites Gesetz zur Änderung des Gesetzes vom 22. Juni 1954 über den Beitritt der Bundesrepublik Deutschland zum Abkommen über die Vorrechte und Befreiungen der Sonderorganisationen der Vereinten Nationen vom 21. November 1947 und über die Gewährung von Vorrechten und Befreiungen an andere zwischen-staatliche Organisationen
         0 | Gesetz zur Sicherung von Forderungen für den Lastenausgleich
         0 | Gesetz über die Umwandlung kurzfristiger Inlandsschulden der Gemeinden
         0 | Nachtrag zu dem Gesetz über den Staatsvertrag betreffend den Übergang der Wasserstraßen von den Ländern auf das Reich (Anhang zum Gesetz über die vermögensrechtlichen Verhältnisse der Bundeswasserstraßen)
         0 | Gesetz zu dem Vertrag vom 14. November 1990 zwischen der Bundesrepublik Deutschland und der Republik Polen über die Bestätigung der zwischen ihnen bestehenden Grenze
         0 | Gesetz zu dem Abkommen vom 20. Oktober 1982 zwischen der Bundesrepublik Deutschland und der Schweizerischen Eidgenossenschaft über Arbeitslosenversicherung
         0 | Gesetz zu dem Wiener Übereinkommen vom 23. Mai 1969 über das Recht der Verträge
         0 | Gesetz, betreffend die Unzulässigkeit der Pfändung von Eisenbahnfahrbetriebsmitteln
         0 | Gesetz über die Feststellung des Wirtschaftsplans des ERP-Sondervermögens für das Jahr 1997
         0 | Gesetz, betreffend den Vertrag vom 23. Oktober 1954 über den Aufenthalt ausländischer Streitkräfte in der Bundesrepublik Deutschland
         0 | Gesetz über den Beitritt von Staaten zu den Haager Abkommen über internationales Privatrecht
         0 | Viertes Gesetz zur Aufhebung des Besatzungsrechts
         0 | Sozialgesetzbuch - Allgemeiner Teil -
         0 | Gesetz zu den Zusatzvereinbarungen vom 29. August 1980 zum Abkommen vom 22. Dezember 1966 zwischen der Bundesrepublik Deutschland und der Republik Österreich über Soziale Sicherheit und zu der Vereinbarung zur Durchführung dieses Abkommens
         0 | Gesetz zu dem Vertrag vom 27. Oktober 1956 zwischen der Bundesrepublik Deutschland, der Französischen Republik und dem Großherzogtum Luxemburg über die Schiffbarmachung der Mosel
         0 | Gesetz über Sachleistungen für Reichsaufgaben
         0 | Gesetz betreffend das Übereinkommen über die Sklaverei
         0 | Gesetz über die Feststellung des Wirtschaftsplans des ERP-Sondervermögens für das Rechnungsjahr 1966
         0 | Gesetz zu dem Übereinkommen vom 29. März 1982 über die Errichtung einer Europäischen Stiftung



1998-01-01 | Size of misc in tokens: 1577646

     24148 | Bundesrechtsanwaltsordnung
     23061 | Umsatzsteuergesetz
     21129 | Steuerberatungsgesetz
     20403 | Patentanwaltsordnung
     17805 | Gesetz über den Versicherungsvertrag
     16491 | Gesetz über Urheberrecht und verwandte Schutzrechte
     16061 | Flurbereinigungsgesetz
     15868 | Seemannsgesetz
     15818 | Bundesgesetz über individuelle Förderung der Ausbildung
     15790 | Gesetz zur Sicherung der Eingliederung Schwerbehinderter in Arbeit, Beruf und Gesellschaft
     15389 | Luftverkehrsgesetz
     14646 | Bundesbeamtengesetz
     14319 | Vorläufiges Tabakgesetz
     14215 | Gesetz über den Zivildienst der Kriegsdienstverweigerer
     13810 | Hochschulrahmengesetz
     12993 | Gesetz zur allgemeinen Regelung durch den Krieg und den Zusammenbruch des Deutschen Reiches entstandener Schäden
     12835 | Rahmengesetz zur Vereinheitlichung des Beamtenrechts
     12721 | Gesetz über die Einführung des deutschen Rechts auf dem Gebiete der Steuern, Zölle und Finanzmonopole im Saarland
     12476 | Bürgerliches Gesetzbuch / Erstes Buch Allgemeiner Teil
     12211 | Gesetz zur Verhütung und Bekämpfung übertragbarer Krankheiten beim Menschen
     11755 | Gesetz zur Einführung von Bundesrecht im Saarland
     11719 | Bundesnotarordnung
     11579 | Weingesetz
     11286 | Gesetz zur Bereinigung von deutschen Schuldverschreibungen, die auf ausländische Währung lauten
     11069 | Wehrpflichtgesetz
     10581 | Umwandlungsgesetz / Zweites Buch Verschmelzung
     10281 | Personenbeförderungsgesetz
     10169 | Gesetz zur Ordnung des Wasserhaushalts
      9911 | Bundesleistungsgesetz
      9791 | D-Markbilanzgesetz für das Saarland
      9773 | Gesetz über die internationale Rechtshilfe in Strafsachen
      9630 | Gesetz über die Selbstverwaltung der Gemeinden und Landkreise in der DDR
      9471 | Deutsches Richtergesetz
      9048 | Gesetz über Rechte an Luftfahrzeugen
      9007 | Güterkraftverkehrsgesetz
      8419 | Gesetz über die Landbeschaffung für Aufgaben der Verteidigung
      8392 | Personenstandsgesetz
      8392 | Umwandlungsgesetz / Fünftes Buch Formwechsel
      8275 | Bundesfernstraßengesetz
      8203 | Gesetz zum Schutze der arbeitenden Jugend
      8106 | Wohngeldgesetz
      8051 | Gesetz über Agrarstatistiken
      7846 | Gesetz über das Zentralregister und das Erziehungsregister
      7825 | Gesetz über das Verfahren bei der Errichtung und Verteilung eines Fonds zur Beschränkung der Haftung in der See- und Binnenschiffahrt
      7455 | Wechselgesetz
      7373 | Zweites Gesetz zur Änderung und Ergänzung des Wertpapierbereinigungsgesetzes
      6991 | Gesetz über die Grundsätze des Haushaltsrechts des Bundes und der Länder
      6919 | Gesetz zur Herstellung der Rechtseinheit in der gesetzlichen Renten- und Unfallversicherung
      6735 | Gesetz über die Ergänzung von Vorschriften des Umstellungsrechts und über die Ausstattung der Berliner Altbanken mit Ausgleichsforderungen
      6722 | Fünftes Gesetz zur Förderung der Vermögensbildung der Arbeitnehmer
      6660 | Schiffsregisterordnung
      6525 | Gesetz über Rechte an eingetragenen Schiffen und Schiffsbauwerken
      6472 | Gesetz über Wasser- und Bodenverbände
      6373 | Gesetz über die politischen Parteien
      6354 | Handelsgesetzbuch / Zweites Buch Handelsgesellschaften und stille Gesellschaft
      6332 | Kraftfahrzeugsteuergesetz
      6225 | Gesetz zum Personalrecht der Beschäftigten der früheren Deutschen Bundespost
      6181 | Gesetz über die Feststellung der Zuordnung von ehemals volkseigenem Vermögen
      5883 | Gesetz über Maßnahmen zur Verbesserung der Agrarstruktur und zur Sicherung land- und forstwirtschaftlicher Betriebe
      5859 | Gesetz zur Bereinigung des Wertpapierwesens
      5580 | Gesetz über die Gründung einer Deutsche Bahn Aktiengesellschaft
      5545 | Heimarbeitsgesetz
      5533 | Gesetz zur Ausführung zwischenstaatlicher Anerkennungs- und Vollstreckungsverträge in Zivil- und Handelssachen
      5525 | Gesetz über die Deutsche Bundesbank
      5524 | Vermögensteuergesetz
      5505 | Gesetz zur Überführung der Ansprüche und Anwartschaften aus Zusatz- und Sonderversorgungssystemen des Beitrittsgebiets
      5481 | Gesetz zur Regelung der Rechtsverhältnisse nicht mehr bestehender öffentlicher Rechtsträger
      5393 | Gesetz über die Wahlen zu Landtagen in der Deutschen Demokratischen Republik
      5353 | Gesetz über die Angelegenheiten der Vertriebenen und Flüchtlinge
      5297 | Gesetz über die weitere Sicherung des Einsatzes von Gemeinschaftskohle in der Elektrizitätswirtschaft
      5187 | Zivilprozessordnung / Drittes Buch Rechtsmittel
      5181 | Gesetz zur Zusammenführung und Neugliederung der Bundeseisenbahnen
      5176 | Gesetz zur Förderung der beruflichen Aufstiegsfortbildung
      5051 | Bundesärzteordnung
      5017 | Gesetz über die Abgeltung von Besatzungsschäden
      4898 | Fremdrentengesetz
      4810 | Gesetz über die Aufgaben des Bundes auf dem Gebiet der Seeschiffahrt
      4743 | Gesetz über die Berufe in der Krankenpflege
      4735 | Gesetz zur Sicherstellung des Verkehrs
      4523 | Gesetz über die Statistik für Bundeszwecke
      4490 | Gesetz zur Sicherstellung von Arbeitsleistungen für Zwecke der Verteidigung einschließlich des Schutzes der Zivilbevölkerung
      4480 | Hypothekenbankgesetz
      4471 | Drittes Gesetz zur Neuordnung des Geldwesens
      4426 | Gesetz über die Abwicklung des Reichsnährstands und seiner Zusammenschlüsse
      4396 | Gesetz über das Inverkehrbringen von und den freien Warenverkehr mit Bauprodukten zur Umsetzung der Richtlinie 89/106/EWG des Rates vom 21. Dezember 1988 zur Angleichung der Rechts- und Verwaltungsvorschriften der Mitgliedstaaten über Bauprodukte und anderer Rechtsakte der Europäischen Gemeinschaften
      4347 | Gesetz über den Verkehr mit Milch, Milcherzeugnissen und Fetten
      4337 | Gesetz über die Ausübung der Zahnheilkunde
      4335 | Gesetz über Arbeitnehmererfindungen
      4301 | Gesetz zur Regelung der Arbeitnehmerüberlassung
      4266 | Grunderwerbsteuergesetz
      4228 | Scheckgesetz
      4164 | Gesetz zur Abwicklung der unter Sonderverwaltung stehenden Vermögen von Kreditinstituten, Versicherungsunternehmen und Bausparkassen
      4148 | Gesetz über den Schutz des Arbeitsplatzes bei Einberufung zum Wehrdienst
      4095 | Gesetz über die Durchführung von Maßnahmen des Arbeitsschutzes zur Verbesserung der Sicherheit und des Gesundheitsschutzes der Beschäftigten bei der Arbeit
      4091 | Gesetz über die Schiedsstellen in den Gemeinden
      4080 | Umwandlungsgesetz / Drittes Buch Spaltung
      4023 | Arbeitszeitgesetz
      4018 | Erstes Gesetz zur Vereinheitlichung und Neuregelung des Besoldungsrechts in Bund und Ländern
      4014 | Gesetz gegen den unlauteren Wettbewerb
      4007 | Gesetz über die Sonderung unvermessener und überbauter Grundstücke nach der Karte
      4002 | Gesetz über das Apothekenwesen
      3961 | Gesetz über Sondervorschriften für die vereinfachte Gewährung von Wohngeld in dem in Artikel 3 des Einigungsvertrages genannten Gebiet
      3915 | Gesetz zur Neuregelung des Fremdrenten- und Auslandsrentenrechts und zur Anpassung der Berliner Rentenversicherung an die Vorschriften des Arbeiterrentenversicherungs-Neuregelungsgesetzes und des Angestelltenversicherungs-Neuregelungsgesetzes
      3889 | Viertes Gesetz zur Änderung und Ergänzung des Wertpapierbereinigungsgesetzes
      3834 | Zivilprozessordnung / Neuntes Buch Aufgebotsverfahren
      3802 | Melderechtsrahmengesetz
      3784 | Gesetz über die Sicherung des Unterhalts der zum Wehrdienst einberufenen Wehrpflichtigen und ihrer Angehörigen
      3748 | Gesetz zur Ergänzung des Gesetzes über die Mitbestimmung der Arbeitnehmer in den Aufsichtsräten und Vorständen der Unternehmen des Bergbaus und der Eisen und Stahl erzeugenden Industrie
      3741 | Gesetz über die Pflichtversicherung für Kraftfahrzeughalter
      3713 | Höfeordnung
      3702 | Gesetz über Hilfsmaßnahmen für Personen, die aus politischen Gründen außerhalb der Bundesrepublik Deutschland in Gewahrsam genommen wurden
      3640 | Gesetz zum Erziehungsgeld und zur Elternzeit
      3583 | Gesetz über das Seelotswesen
      3582 | Gesetz über das Erlöschen der Familienfideikommisse und sonstiger gebundener Vermögen
      3568 | Gesetz über die Rehabilitierung und Entschädigung von Opfern rechtsstaatswidriger Strafverfolgungsmaßnahmen im Beitrittsgebiet
      3566 | Erstes Gesetz zur Überleitung von Lasten und Deckungsmitteln auf den Bund
      3486 | Gesetz über das Meß- und Eichwesen
      3471 | Gesetz über die Errichtung einer Bundesanstalt für Post und Telekommunikation Deutsche Bundespost
      3459 | Paßgesetz
      3459 | Gaststättengesetz
      3446 | Gesetz zur Regelung der Verbindlichkeiten nationalsozialistischer Einrichtungen und der Rechtsverhältnisse an deren Vermögen
      3440 | Gesetz über eine Volks-, Berufs-, Gebäude-, Wohnungs- und Arbeitsstättenzählung
      3431 | Spar-Prämiengesetz
      3425 | Gesetz über die elektromagnetische Verträglichkeit von Geräten
      3419 | Gesetz über den Finanzausgleich zwischen Bund und Ländern
      3357 | Gesetz über die Sicherstellung von Leistungen auf dem Gebiet der Wasserwirtschaft für Zwecke der Verteidigung
      3295 | Gesetz über die Finanzverwaltung
      3288 | Gesetz zum Schutze der erwerbstätigen Mutter
      3237 | Gesetz über den Status und die Organisation der Sparkassen
      3221 | Gesetz über die Sicherstellung der Versorgung mit Erzeugnissen der Ernährungs- und Landwirtschaft sowie der Forst- und Holzwirtschaft
      3190 | Zweites Gesetz zur Neuregelung des Besoldungsrechts
      3179 | Verbraucherkreditgesetz
      3175 | Gesetz über die Statistik im Produzierenden Gewerbe
      3163 | Entwicklungshelfer-Gesetz
      3117 | Gesetz zur Regelung der Wiedergutmachung nationalsozialistischen Unrechts in der Sozialversicherung
      3109 | Gesetz über den Ausgleich beruflicher Benachteiligungen für Opfer politischer Verfolgung im Beitrittsgebiet
      3103 | Reichssiedlungsgesetz
      3102 | Gesetz über die Reisekostenvergütung für die Bundesbeamten, Richter im Bundesdienst und Soldaten
      3084 | Gesetz zur Neuregelung der hüttenknappschaftlichen Pensionsversicherung im Saarland
      3079 | Gesetz über die Regelung der Rechtsverhältnisse bei baulichen Maßnahmen auf ehemals in Anspruch genommenen Grundstücken
      3073 | Einführungsgesetz zum Gerichtsverfassungsgesetz
      3065 | Gesetz betreffend die gemeinsamen Rechte der Besitzer von Schuldverschreibungen
      3000 | Gesetz über die Wahrnehmung von Urheberrechten und verwandten Schutzrechten
      2985 | Verschollenheitsgesetz
      2978 | Gesetz über die Rechtsstellung ausländischer Streitkräfte bei vorübergehenden Aufenthalten in der Bundesrepublik Deutschland
      2878 | Gesetz zur Regelung von Vermögensfragen der Sozialversicherung im Beitrittsgebiet
      2848 | Gesetz über den Verkehr mit Vieh und Fleisch
      2827 | Bundeskleingartengesetz
      2808 | Gesetz über die Rechtsverhältnisse der Mitglieder der Bundesregierung
      2791 | Gesetz über das Flaggenrecht der Seeschiffe und die Flaggenführung der Binnenschiffe
      2783 | Gesetz über die Statistiken der öffentlichen Finanzen und des Personals im öffentlichen Dienst
      2779 | Gesetz zur näheren Regelung der Entschädigungsansprüche für Auslandsbonds
      2746 | Gesetz zur Privatisierung und Reorganisation des volkseigenen Vermögens
      2736 | Gesetz zur Förderung der Stabilität und des Wachstums der Wirtschaft
      2730 | Asylbewerberleistungsgesetz
      2720 | Wohnungsbau-Prämiengesetz
      2704 | Gesetz über die Sicherstellung von Leistungen auf dem Gebiet der gewerblichen Wirtschaft sowie des Geld- und Kapitalverkehrs
      2701 | Gesetz zur Regelung von Ansprüchen aus Lebens- und Rentenversicherungen
      2696 | Versicherungsteuergesetz
      2693 | Gesetz über die Aufgaben des Bundes auf dem Gebiet der Binnenschiffahrt
      2676 | Gesetz über Altschuldenhilfen für Kommunale Wohnungsunternehmen, Wohnungsgenossenschaften und private Vermieter in dem in Artikel 3 des Einigungsvertrages genannten Gebiet
      2646 | Gesetz über die Umweltverträglichkeitsprüfung
      2628 | Gesetz über die Berufe in der Physiotherapie
      2617 | Gesetz zur Errichtung der Bundesknappschaft
      2611 | Gesetz über die Entschädigung von Zeugen und Sachverständigen
      2601 | Gesetz über Abgaben für das Einleiten von Abwasser in Gewässer
      2581 | Gesetz über Betriebsärzte, Sicherheitsingenieure und andere Fachkräfte für Arbeitssicherheit
      2578 | Gesetz zur Regelung der Rechtsverhältnisse des Reichsvermögens und der preußischen Beteiligungen
      2578 | Gesetz zur Sicherung der Energieversorgung
      2573 | Gesetz zur Förderung der bäuerlichen Landwirtschaft
      2554 | Bundeskindergeldgesetz
      2519 | Gesetz über die Zahlung des Arbeitsentgelts an Feiertagen und im Krankheitsfall
      2445 | Gesetz zu dem Abkommen zwischen den Parteien des Nordatlantikvertrags vom 19. Juni 1951 über die Rechtsstellung ihrer Truppen und zu den Zusatzvereinbarungen vom 3. August 1959 zu diesem Abkommen
      2427 | Gesetz über die Spaltung der von der Treuhandanstalt verwalteten Unternehmen
      2414 | Gesetz über die Erhaltung der Gräber der Opfer von Krieg und Gewaltherrschaft
      2393 | Gesetz über die Beschränkung von Grundeigentum für die militärische Verteidigung
      2389 | Gesetz über die richterliche Vertragshilfe
      2385 | Gesetz über technische Assistenten in der Medizin
      2366 | Ernährungsvorsorgegesetz
      2353 | Gesetz über das Aufspüren von Gewinnen aus schweren Straftaten
      2353 | Gesetz zur Konsolidierung der Arbeitsförderung
      2336 | Gesetz zur Förderung von Vorruhestandsleistungen
      2331 | Gesetz zum Abschluß der Währungsumstellung
      2321 | Gesetz über die Ausübung von Mitgliedschaftsrechten aus Aktien während der Wertpapierbereinigung
      2320 | Reichsschuldbuchgesetz
      2318 | Wehrbeschwerdeordnung
      2246 | Gesetz zur Neuordnung der Sozialversicherungsträger im Saarland
      2246 | Gesetz über die Beförderung gefährlicher Güter
      2224 | Zivilprozessordnung / Siebentes Buch Mahnverfahren
      2191 | Gesetz zur vorläufigen Regelung des Tiefseebergbaus
      2185 | Gesetz über gebäude- und wohnungsstatistische Erhebungen
      2181 | Gesetz zur Umwandlung der Unternehmen der Deutschen Bundespost in die Rechtsform der Aktiengesellschaft
      2162 | Gesetz zur Regelung der Sicherheitsanforderungen an Produkte und zum Schutz der CE-Kennzeichnung
      2142 | Gesetz über die Bildung und Tätigkeit von Stiftungen
      2140 | Gesetz über den Schutz der Topographien von mikroelektronischen Halbleitererzeugnissen
      2138 | Bundes-Apothekerordnung
      2132 | Gesetz über Steuerstatistiken
      2131 | Gesetz über die Ermächtigung zum Erlaß von Rechtsverordnungen im Rahmen der Verordnung (EWG) Nr. 1408/71 des Rates vom 14. Juni 1971 zur Anwendung der Systeme der sozialen Sicherheit auf Arbeitnehmer und deren Familien, die innerhalb der Gemeinschaft zu- und abwandern, und der Verordnung (EWG) Nr. 574/72 des Rates vom 21. März 1972 über die Durchführung der Verordnung (EWG) Nr. 1408/71
      2092 | Gesetz zur Überleitung von Lasten und Deckungsmitteln vom Saarland auf den Bund
      2085 | Umwelthaftungsgesetz
      2081 | Gesetz zu dem Abkommen vom 16. Mai 1991 zwischen der Regierung der Bundesrepublik Deutschland und der Regierung der Union der Sozialistischen Sowjetrepubliken über die Beendigung der Tätigkeit der Sowjetisch-Deutschen Aktiengesellschaft Wismut
      2075 | Gesetz über die Errichtung einer Zusatzversorgungskasse für Arbeitnehmer in der Land- und Forstwirtschaft
      2051 | Gesetz über die humanitäre Hilfe für durch Blutprodukte HIV-infizierte Personen
      2045 | Gesetz über die Errichtung eines zentralen Fonds zur Absatzförderung der deutschen Land- und Ernährungswirtschaft
      2032 | Gesetz über die Förderung des wissenschaftlichen Nachwuchses an den Hochschulen
      2028 | Erstes Gesetz zur Reform des Strafrechts
      2018 | Gesetz zur Regelung von Fragen der Staatsangehörigkeit
      2017 | Drittes Gesetz zur Änderung und Ergänzung des Wertpapierbereinigungsgesetzes
      2009 | Gesetz über die Veräußerung von Teilzeitnutzungsrechten an Wohngebäuden
      2000 | Gesetz zur Durchführung einer Repräsentativstatistik über die Bevölkerung und den Arbeitsmarkt sowie die Wohnsituation der Haushalte
      1989 | Verfahrensordnung für Höfesachen
      1974 | Gesetz über die Eingliederung des Saarlandes
      1974 | Gesetz über den Einfluß von Eignungsübungen der Streitkräfte auf Vertragsverhältnisse der Arbeitnehmer und Handelsvertreter sowie auf Beamtenverhältnisse
      1968 | Gesetz über Finanzhilfen des Bundes zur Verbesserung der Verkehrsverhältnisse der Gemeinden
      1949 | Gesetz über die Liquidation der Deutschen Reichsbank und der Deutschen Golddiskontbank
      1946 | Gesetz zu dem Übereinkommen vom 2. Dezember 1972 über sichere Container
      1941 | Gesetz zur Neuordnung der Gemeindefinanzen
      1922 | Gesetz über die Anwendung unmittelbaren Zwanges und die Ausübung besonderer Befugnisse durch Soldaten der Bundeswehr und verbündeter Streitkräfte sowie zivile Wachpersonen
      1919 | Gesetz zur Sicherstellung des Postwesens und der Telekommunikation
      1918 | Gesetz über die Geld- und Sachbezüge der Soldaten, die auf Grund der Wehrpflicht Wehrdienst leisten
      1916 | Gesetz zur Durchführung der Richtlinie des Rates der Europäischen Gemeinschaften vom 22. März 1977 zur Erleichterung der tatsächlichen Ausübung des freien Dienstleistungsverkehrs der Rechtsanwälte
      1914 | Zweites Gesetz über die Erhöhung von Dienst- und Versorgungsbezügen in Bund und Ländern
      1898 | Feuerschutzsteuergesetz
      1895 | Gesetz über die Anpassung von Dienst- und Versorgungsbezügen in Bund und Ländern 1992
      1878 | Bestimmungen über die Beförderung von Reisenden und ihrem Gepäck auf See (Anlage zu § 664 des Handelsgesetzbuchs)
